food,protein
삼선짬뽕,39.63
해물탕,39.8
돼지갈비찜,39.86
닭발구이,39.92
스파이시 튜나 바게트,40.0
크레이지 불새 피자(L),40.16
이탈리안 치즈 피자 바이트(L),40.28
동태조림,40.8
멸치조림,40.92
레드 벨벳,41.0
조기조림,41.1
리얼 시카고 오리지널 피자(L),41.32
매운 치킨(L),41.4
소곱창전골,41.6
복지리탕,41.7
도가니탕,41.76
닭볶음,41.93
프레시 코울슬로,42.0
치즈돈가스,42.02
해물덮밥,42.04
새우구이,42.13
닭칼국수,42.2
굴국밥,42.4
해물찜,42.6
로스트 윙/봉 10조각,42.72
떡갈비,42.76
골드 하와이언 쉬림프 피자(L),42.77
삼치구이,42.83
홈샐바세트,43.0
훈제오리,43.06
갈치구이,43.07
오징어물회,43.3
가오리찜,43.98
불고기베이크,44.0
잡탕밥,44.12
제육덮밥,44.3
게국지,44.9
핫윙(8ea),45.0
삼겹살구이,45.11
이탈리안 치즈 피자(R),45.4
닭갈비,45.5
오징어순대,45.7
닭갈비,45.9
통모짜X,46.0
고등어석쇠구이,46.75
바이트 추가 라지,46.93
치즈스틱,47.0
베이크 치킨,47.17
고등어구이,47.65
황태구이,47.8
참치머리구이,47.81
삼선우동,47.94
치킨윙,48.0
오리고기구이,48.12
아구찜,48.3
소고기산적,48.41
로스트 윙/봉 6조각,48.48
닭곰탕,48.8
고등어찌개,48.9
햄&치즈 퀘사디아,49.0
초당순두부,49.1
선지해장국,49.3
꽁치구이,49.36
치즈크러스트 추가 라지,49.4
돼지고기산적,49.41
소갈비찜,49.86
치즈 요거트 빙수,50.0
동태찜,50.9
베이컨포테이토 바이트 L,51.0
대구찜,51.7
더블해쉬불고기,52.0
우럭매운탕,52.15
리치골드브레드,53.0
임연수구이,53.8
오리지날 윙 8조각,54.0
곰치국,54.3
스파이시윙 8조각,55.0
까망베르 치즈,56.0
치킨데리야끼,56.23
오리탕,56.99
치즈스틱(7pcs),57.0
대구매운탕,57.36
베이크윙(8ea),58.0
광어매운탕,58.42
바삭킹(8조각),59.0
돼지고기 수육,59.65
버팔로스틱-핫윙(7pcs),60.0
소양념갈비구이,60.1
돼지머리국밥,60.34
등심스테이크,60.44
블랙 벨벳,61.0
매운갈비찜,61.3
버팔로윙 4조각,62.0
올리브 치킨 파니니,64.0
퀸즈 캐롯,65.0
족발,65.09
닭튀김,65.2
아구찜,65.4
간장 치킨(L),65.9
돼지국밥,66.4
간장양념닭다리구이,68.9
안심스테이크,69.63
뉴욕 치즈,70.0
마스카포네 티라미수,71.0
구운닭 set box,71.2
돼지등갈비찜,72.1
크로크무슈,73.0
뼈다귀해장국,74.6
치즈 폭탄 피자(L),75.08
벨지안 멜팅 가나슈,76.0
쇠갈비구이,77.73
바비큐 치킨 파니니,78.0
치킨샘플러,79.0
생크림 피칸 타르트,80.0
스트로베리 초콜릿 생크림 파티팩,84.0
돼지갈비구이,84.72
전주불백피자R,85.0
쇠고기수육,85.29
롱치즈스틱 2ea,85.58
순살치킨,88.0
닭구이,89.1
티라미수 파티팩,90.0
바비큐폭립,94.0
연포탕,94.9
삼계탕,96.09
매운닭 set box,96.8
오븐구이치킨,97.0
구운닭 단품,101.62
치즈국물떡볶이,102.0
안동찜닭,114.2
전주불백피자L,116.0
시즌배터 양념 포테이토,122.67
요거트빙수,123.0
반반한닭 단품,127.49
오리지날 팥빙수,130.0
반반한닭 set box,148.54
윙봉 치킨 박스,148.8
매운닭 단품,153.36
오븐구이통닭,170.0
