food,protein
모카 탐앤치노 tall,4.54
마늘쫑볶음,4.55
다크초코 라떼,4.6
츄러스,4.62
토란대나물무침,4.63
멸치풋고추볶음,4.65
가죽나물무침,4.66
알록달록화전 & 멸치두부전,4.67
티라미수 케잌,4.7
피조개무침,4.71
바닐라 탐앤치노 grande,4.72
어묵김치찌개,4.74
아이스 에스프레소 토피넛라떼 R,4.8
쏘야그라탕(소세지야채),4.82
에스프레소 탐앤치노 venti,4.86
쑥된장국,4.88
못난이찹쌀팥도넛,4.9
버터크림빵,4.91
송편(깨),4.92
대합미역국,4.93
그린 티 탐앤치노 tall,4.96
어니언링,5.0
그린민트 모카 탐앤치노 grande,5.05
팥찹쌀떡,5.06
과일먹은 닭탕수,5.07
아이스 카푸치노,5.1
만주,5.13
배추전,5.17
민트 초콜릿 라떼,5.2
캬라멜 마끼아또 tall (iced),5.21
무시래기된장국,5.22
송편(콩),5.24
시나몬 모카 탐앤치노 venti,5.25
아이스 화이트모카,5.3
초콜릿케이크,5.31
민트프라페,5.33
굴무침,5.34
김칫국,5.36
콩조림,5.39
김치국,5.4
기피편,5.45
시루떡,5.47
밀크티 로열 tall (hot),5.49
카라멜 마끼아또 R,5.5
시나몬 초콜릿 탐앤치노 tall,5.55
호박찌개,5.6
인절미,5.64
라볶이,5.66
아카시아 꿀차 venti,5.67
아이스 바닐라 카페라떼,5.7
수수부꾸미,5.73
바닐라 탐앤치노 venti,5.74
양미리조림,5.76
레드벨벳 요거트 롤,5.78
소보로빵,5.79
아이스 카라멜마끼아또,5.8
민트카페모카ICE,5.81
페이스트리,5.82
꽈배기,5.83
배추된장국,5.85
완두콩밥,5.89
아이스 초코 라떼 R,5.9
미니브라우니,5.92
순두부김치찌개,5.95
모카 탐앤치노 grande,5.96
페이스트리빵,5.99
스파이시 포테이토,6.0
딸기바나나,6.01
마늘빵,6.03
순대,6.04
그린민트 모카 탐앤치노 venti,6.07
무된장국,6.1
호박오가리나물무침,6.14
마늘장아찌,6.15
그린민트 초콜릿 탐앤치노 tall,6.16
메밀전병,6.18
두부해물완자,6.19
해파리냉채,6.2
순두부달걀탕,6.23
채소떡볶이,6.24
미역된장국,6.25
참깨경단,6.28
아이스 카페라떼,6.3
곰보빵,6.31
캬라멜 마끼아또 tall (hot),6.35
그린 티 탐앤치노 grande,6.36
시나몬 카페모카 tall (iced),6.37
캬라멜 탐앤치노 venti,6.38
아이스 모카 블렌디모,6.4
망고요거트스무디ICE,6.45
카페모카ICE,6.47
호박전,6.48
소고기 무국,6.49
